id,menu_item_id,url,description
def456gh-i789-jk01-lm23-nop45678901q,b2c3d4e5-f6a7-8b9c-0d1e-2f3a4b5c6d7e,https://wordwall.net/resource/63848077/ورشة-عمل-1,تدريب 1
ghi789jk-l012-mn34-op56-qrs78901234r,b2c3d4e5-f6a7-8b9c-0d1e-2f3a4b5c6d7e,https://wordwall.net/resource/63849983/ورشة-عمل-2,تدريب 2
